File,W,H,CellPx,GridX,GridY,FrameCount,ColorRowCount,AchromaticRows,RowHues,Note
Free/Part 11/507.png,768,576,64,12,9,12,9,5,38.7;281.1;196.3;120.0;24.3;-1.0;276.3;310.7;264.9,
Free/Part 11/508.png,832,576,64,13,9,13,9,5,33.8;281.3;196.3;119.4;24.3;-1.0;278.7;313.5;264.3,
Free/Part 11/509.png,832,576,64,13,9,13,9,5,31.6;279.4;196.9;121.1;23.2;-1.0;280.4;319.8;267.4,
Free/Part 11/516.png,768,576,64,12,9,12,9,5,29.3;281.3;195.9;119.4;24.3;-1.0;285.0;321.6;264.3,
Free/Part 11/517.png,768,576,64,12,9,12,9,5,36.7;281.1;196.7;120.0;24.3;-1.0;278.8;312.4;264.9,
Free/Part 11/518.png,768,576,64,12,9,12,9,5,42.5;286.3;196.6;114.8;26.7;-1.0;270.0;306.9;257.2,
Free/Part 11/519.png,768,576,64,12,9,12,9,5,35.4;285.0;195.1;116.3;26.2;-1.0;276.8;312.4;259.1,
Free/Part 11/526.png,576,576,64,9,9,9,9,5,43.0;272.2;198.8;129.4;18.9;-1.0;277.8;310.9;277.1,
Free/Part 11/527.png,832,576,64,13,9,13,9,5,32.6;276.3;197.2;124.6;22.1;-1.0;282.9;314.4;271.9,
Free/Part 11/528.png,832,576,64,13,9,13,9,5,33.8;279.4;197.0;121.1;23.7;-1.0;280.4;314.0;266.5,
Free/Part 11/529.png,832,576,64,13,9,13,9,5,33.8;280.1;196.6;120.6;23.8;-1.0;280.0;313.5;266.2,
Free/Part 12/566.png,832,576,64,13,9,13,9,5,32.6;284.3;195.1;116.8;25.6;-1.0;279.1;313.5;260.4,
Free/Part 12/567.png,832,576,64,13,9,13,9,5,41.2;271.2;198.8;131.2;18.4;-1.0;280.8;313.5;275.6,
Free/Part 12/568.png,896,576,64,14,9,14,9,5,32.1;274.6;198.1;126.1;21.1;-1.0;286.0;316.2;274.0,
Free/Part 12/569.png,832,576,64,13,9,13,9,5,37.4;272.2;198.7;129.4;18.9;-1.0;289.3;316.2;276.6,
Free/Part 12/576.png,896,576,64,14,9,14,9,5,37.4;283.3;195.9;117.3;25.3;-1.0;275.7;311.4;261.3,
Free/Part 12/577.png,896,576,64,14,9,14,9,5,33.8;279.9;196.6;120.9;23.7;-1.0;280.4;313.5;266.3,
Free/Part 12/578.png,704,576,64,11,9,11,9,5,35.4;284.3;195.3;116.8;25.6;-1.0;278.2;312.4;260.4,
Free/Part 12/579.png,896,576,64,14,9,14,9,5,36.7;285.0;195.3;116.3;26.2;-1.0;278.8;312.5;259.1,
Free/Part 12/586.png,896,576,64,14,9,14,9,5,39.0;270.2;198.9;131.8;17.8;-1.0;282.9;313.5;275.6,
Free/Part 12/587.png,832,576,64,13,9,13,9,5,33.8;280.1;196.7;120.6;23.8;-1.0;280.0;314.0;266.2,
Free/Part 12/588.png,896,576,64,14,9,14,9,5,27.8;275.9;197.3;125.2;21.8;-1.0;289.3;323.3;272.2,
Free/Part 12/589.png,896,576,64,14,9,14,9,5,44.7;296.9;193.1;92.5;31.5;-1.0;32.9;37.1;237.8,
Free/Part 13/612.png,960,576,64,15,9,15,9,5,33.3;287.7;193.0;113.4;27.5;-1.0;272.3;312.0;254.8,
Free/Part 13/613.png,960,576,64,15,9,15,9,5,32.1;275.9;197.4;125.2;22.0;-1.0;285.0;316.2;272.8,
Free/Part 13/614.png,896,576,64,14,9,14,9,5,34.0;275.0;198.0;125.8;21.2;-1.0;285.0;316.2;272.5,
Free/Part 13/615.png,896,576,64,14,9,14,9,5,53.5;268.7;200.5;133.5;16.4;-1.0;282.9;313.5;277.9,
Free/Part 13/622.png,896,576,64,14,9,14,9,5,30.9;284.3;194.7;116.8;25.6;-1.0;280.0;319.8;260.4,
Free/Part 13/623.png,832,576,64,13,9,13,9,5,35.7;281.1;196.3;120.0;24.3;-1.0;277.8;312.0;264.9,
Free/Part 13/624.png,896,576,64,14,9,14,9,5,33.8;279.4;196.6;121.1;23.7;-1.0;280.4;313.5;267.4,
Free/Part 13/625.png,960,576,64,15,9,15,9,5,33.3;270.5;198.8;131.8;18.1;-1.0;293.0;317.2;277.4,
Free/Part 13/632.png,896,576,64,14,9,14,9,5,35.4;281.3;196.3;119.4;24.3;-1.0;278.7;312.2;264.3,
Free/Part 13/633.png,960,576,64,15,9,15,9,5,35.4;275.9;198.0;125.2;22.0;-1.0;280.0;313.5;272.2,
Free/Part 13/634.png,960,576,64,15,9,15,9,5,33.3;286.3;194.5;114.8;26.7;-1.0;276.8;313.3;257.2,
Free/Part 13/635.png,896,576,64,14,9,14,9,5,37.4;275.2;198.1;125.8;21.4;-1.0;280.2;313.0;273.5,
Free/Part 14/652.png,1024,576,64,16,9,16,9,5,40.3;270.1;198.9;131.8;17.6;-1.0;282.9;314.0;276.2,
Free/Part 14/653.png,1088,576,64,17,9,17,9,5,44.2;274.8;198.4;125.8;21.4;-1.0;278.2;310.7;272.1,
Free/Part 14/654.png,1088,576,64,17,9,17,9,5,43.4;272.4;198.8;128.8;19.3;-1.0;280.0;312.4;274.8,
Free/Part 14/655.png,960,576,64,15,9,15,9,5,347.4;263.2;208.3;141.1;7.6;-1.0;277.3;309.2;275.6,
Free/Part 14/662.png,960,576,64,15,9,15,9,5,40.3;270.5;198.9;131.8;18.1;-1.0;285.0;314.0;277.1,
Free/Part 14/663.png,1024,576,64,16,9,16,9,5,38.2;288.4;195.0;111.9;27.7;-1.0;272.3;310.0;254.2,
Free/Part 14/664.png,1024,576,64,16,9,16,9,5,44.2;287.4;196.6;113.9;27.2;-1.0;269.1;307.0;256.1,
Free/Part 14/665.png,1024,576,64,16,9,16,9,5,30.9;280.7;196.3;120.0;23.8;-1.0;282.9;317.2;265.5,
Free/Part 14/672.png,896,576,64,14,9,14,9,5,39.0;280.7;196.9;120.0;23.8;-1.0;276.8;310.7;265.5,
Free/Part 14/673.png,1152,576,64,18,9,18,9,5,349.9;266.6;203.3;136.1;13.0;-1.0;280.4;312.2;277.4,
Free/Part 14/674.png,1152,576,64,18,9,18,9,5,349.9;266.7;204.2;135.5;13.7;-1.0;279.1;310.7;277.4,
Free/Part 14/675.png,1216,576,64,19,9,19,9,5,41.5;272.4;198.7;128.8;19.3;-1.0;280.0;312.5;273.5,
Free/Part 15/700.png,1408,576,64,22,9,22,9,5,38.7;292.0;194.7;104.2;29.0;-1.0;32.9;308.6;249.0,
Free/Part 15/701.png,1216,576,64,19,9,19,9,5,43.9;280.1;197.1;120.6;23.8;-1.0;276.3;310.2;266.2,
Free/Part 15/702.png,1088,576,64,17,9,17,9,5,33.8;283.5;195.1;117.3;25.1;-1.0;278.7;313.3;261.1,
Free/Part 15/703.png,1408,576,64,22,9,22,9,5,35.4;279.4;197.0;121.1;23.2;-1.0;279.1;313.5;266.5,
Free/Part 15/710.png,1152,576,64,18,9,18,9,5,34.5;283.3;196.5;117.3;25.3;-1.0;278.8;313.5;261.3,
Free/Part 15/711.png,1280,576,64,20,9,20,9,5,38.2;275.5;198.1;125.8;21.6;-1.0;280.4;313.3;272.1,
Free/Part 15/712.png,1344,576,64,21,9,21,9,5,46.2;272.2;198.8;129.4;18.9;-1.0;278.7;311.4;272.2,
Free/Part 15/713.png,1472,576,64,23,9,23,9,5,42.5;295.4;193.1;96.8;30.8;-1.0;32.9;37.1;242.2,
Free/Part 15/720.png,1280,576,64,20,9,20,9,5,39.0;283.3;196.6;117.3;25.1;-1.0;277.3;312.0;261.3,
Free/Part 15/721.png,1408,576,64,22,9,22,9,5,40.7;289.8;195.0;108.8;28.0;-1.0;32.9;310.2;251.9,
Free/Part 15/722.png,1472,576,64,23,9,23,9,5,41.2;293.4;193.7;101.7;29.7;-1.0;32.9;300.0;246.4,
Free/Part 15/723.png,1472,576,64,23,9,23,9,5,35.4;270.5;198.8;131.8;18.1;-1.0;289.3;317.2;276.7,
Free/Part 2/62.png,512,576,64,8,9,8,9,5,347.4;267.5;201.6;135.2;15.0;-1.0;280.8;312.9;276.4,
Free/Part 2/63.png,448,576,64,7,9,7,9,5,347.4;268.2;201.0;134.3;15.4;-1.0;279.6;310.9;275.4,
Free/Part 2/64.png,512,576,64,8,9,8,9,5,39.5;290.1;193.9;107.9;28.5;-1.0;32.1;301.7;251.9,
Free/Part 2/65.png,512,576,64,8,9,8,9,5,34.5;271.3;198.4;130.5;18.6;-1.0;286.0;315.0;276.0,
Free/Part 2/69.png,640,576,64,10,9,10,9,5,37.9;290.9;191.7;106.8;29.0;-1.0;30.8;304.5;250.8,
Free/Part 2/70.png,576,576,64,9,9,9,9,5,39.5;289.8;194.5;108.6;28.2;-1.0;32.1;305.7;252.5,
Free/Part 2/71.png,640,576,64,10,9,10,9,5,39.5;282.0;196.1;118.9;24.6;-1.0;275.1;307.7;263.6,
Free/Part 2/72.png,640,576,64,10,9,10,9,5,39.5;278.8;197.1;121.7;23.2;-1.0;277.3;311.6;268.1,
Free/Part 2/76.png,704,576,64,11,9,11,9,5,37.0;279.4;196.7;121.1;23.5;-1.0;277.8;312.4;267.4,
Free/Part 2/77.png,768,576,64,12,9,12,9,5,35.4;285.3;194.5;115.8;26.2;-1.0;275.7;312.0;258.7,
Free/Part 2/78.png,704,576,64,11,9,11,9,5,42.5;271.3;198.4;130.5;18.6;-1.0;279.6;312.4;273.6,
Free/Part 2/79.png,768,576,64,12,9,12,9,5,37.9;287.3;194.0;114.4;26.9;-1.0;270.0;307.7;256.1,
Free/Part 3/113.png,768,576,64,12,9,12,9,5,40.3;286.7;195.0;114.4;26.7;-1.0;274.5;307.0;256.6,
Free/Part 3/114.png,768,576,64,12,9,12,9,5,30.9;288.4;192.2;111.9;27.7;-1.0;275.1;316.2;254.2,
Free/Part 3/115.png,768,576,64,12,9,12,9,5,32.1;275.2;197.4;125.8;21.4;-1.0;282.9;316.2;272.8,
Free/Part 3/116.png,768,576,64,12,9,12,9,5,40.7;272.4;198.7;128.8;19.3;-1.0;279.6;312.4;276.0,
Free/Part 3/123.png,768,576,64,12,9,12,9,5,37.4;286.3;195.1;114.8;26.7;-1.0;275.1;310.0;257.2,
Free/Part 3/124.png,768,576,64,12,9,12,9,5,30.7;286.7;193.1;114.4;26.7;-1.0;276.8;319.8;256.6,
Free/Part 3/125.png,768,576,64,12,9,12,9,5,348.9;267.7;202.7;134.9;14.8;-1.0;277.8;310.2;276.4,
Free/Part 3/126.png,768,576,64,12,9,12,9,5,38.2;286.3;195.1;114.8;26.7;-1.0;275.1;309.2;257.2,
Free/Part 3/133.png,768,576,64,12,9,12,9,5,44.2;269.5;198.9;132.5;16.7;-1.0;283.8;313.5;277.3,
Free/Part 3/134.png,768,576,64,12,9,12,9,5,348.5;267.9;201.0;134.5;15.0;-1.0;280.4;312.4;276.7,
Free/Part 3/135.png,768,576,64,12,9,12,9,5,348.9;267.4;201.8;135.3;14.2;-1.0;280.0;312.2;276.6,
Free/Part 3/136.png,768,576,64,12,9,12,9,5,35.2;278.8;197.0;121.7;23.0;-1.0;280.0;314.0;268.1,
Free/Part 4/174.png,640,576,64,10,9,10,9,5,44.2;270.5;198.9;131.8;18.1;-1.0;280.0;312.4;274.0,
Free/Part 4/175.png,640,576,64,10,9,10,9,5,37.0;277.0;197.2;124.0;22.3;-1.0;280.0;312.5;268.4,
Free/Part 4/176.png,640,576,64,10,9,10,9,5,347.4;266.7;202.5;135.5;13.7;-1.0;280.0;312.0;276.2,
Free/Part 4/177.png,704,576,64,11,9,11,9,5,40.3;293.4;194.7;101.3;29.5;-1.0;32.9;262.5;246.0,
Free/Part 4/184.png,704,576,64,11,9,11,9,5,36.7;275.9;197.6;125.2;22.0;-1.0;280.0;313.0;271.1,
Free/Part 4/185.png,768,576,64,12,9,12,9,5,347.4;266.1;203.9;136.2;12.5;-1.0;279.6;312.0;275.6,
Free/Part 4/186.png,768,576,64,12,9,12,9,5,347.4;267.9;201.0;134.5;15.0;-1.0;278.3;311.4;273.5,
Free/Part 4/187.png,768,576,64,12,9,12,9,5,28.7;271.2;198.6;130.6;18.8;-1.0;291.8;321.2;274.4,
Free/Part 4/194.png,768,576,64,12,9,12,9,5,30.9;278.8;196.6;121.7;23.0;-1.0;286.0;317.2;268.1,
Free/Part 4/195.png,896,576,64,14,9,14,9,5,348.9;261.6;211.3;143.1;6.7;-1.0;276.8;308.4;276.7,
Free/Part 4/196.png,896,576,64,14,9,14,9,5,347.4;262.7;210.0;141.6;6.7;-1.0;276.8;308.4;274.8,
Free/Part 4/197.png,896,576,64,14,9,14,9,5,349.4;262.7;209.1;141.6;6.7;-1.0;278.2;309.2;276.7,
Free/Part 5/220.png,512,576,64,8,9,8,9,5,34.2;286.3;194.7;115.3;26.2;-1.0;275.7;312.5;257.4,
Free/Part 5/221.png,640,576,64,10,9,10,9,5,35.0;292.0;191.4;104.2;29.0;-1.0;32.5;310.2;249.0,
Free/Part 5/222.png,576,576,64,9,9,9,9,5,33.8;289.1;194.1;109.8;28.0;-1.0;32.9;312.5;253.7,
Free/Part 5/223.png,320,576,64,5,9,5,9,5,29.3;275.5;197.4;125.5;21.6;-1.0;280.8;321.6;273.2,
Free/Part 5/230.png,320,576,64,5,9,5,9,5,42.5;283.3;196.9;117.3;25.1;-1.0;273.0;310.7;261.3,
Free/Part 5/231.png,576,576,64,9,9,9,9,5,42.5;296.1;193.0;95.1;30.8;-1.0;32.5;37.1;240.8,
Free/Part 5/232.png,576,576,64,9,9,9,9,5,33.3;286.7;194.5;114.4;26.7;-1.0;275.1;312.5;256.6,
Free/Part 5/233.png,640,576,64,10,9,10,9,5,44.7;300.5;191.8;85.9;32.3;-1.0;31.7;35.8;232.0,
Free/Part 5/240.png,640,576,64,10,9,10,9,5,35.7;280.7;196.7;120.0;23.8;-1.0;278.7;312.4;265.5,
Free/Part 5/241.png,512,576,64,8,9,8,9,5,33.8;277.0;197.2;123.5;22.6;-1.0;280.0;314.4;270.3,
Free/Part 5/242.png,640,576,64,10,9,10,9,5,32.1;284.6;194.8;116.8;25.9;-1.0;279.6;314.0;259.4,
Free/Part 5/243.png,640,576,64,10,9,10,9,5,35.4;290.1;193.7;107.3;28.5;-1.0;32.9;310.2;251.3,
Free/Part 6/273.png,512,576,64,8,9,8,9,5,40.3;272.9;198.8;128.2;19.6;-1.0;280.0;312.4;274.6,
Free/Part 6/274.png,512,576,64,8,9,8,9,5,32.1;287.4;194.5;113.9;27.2;-1.0;277.3;316.2;256.1,
Free/Part 6/275.png,512,576,64,8,9,8,9,5,25.5;275.2;197.2;125.8;21.4;-1.0;294.3;325.8;273.5,
Free/Part 6/276.png,512,576,64,8,9,8,9,5,46.2;278.2;198.3;122.3;22.9;-1.0;276.3;310.0;268.4,
Free/Part 6/283.png,576,576,64,9,9,9,9,5,39.0;270.2;198.9;131.8;17.8;-1.0;280.8;313.5;276.6,
Free/Part 6/284.png,512,576,64,8,9,8,9,5,33.8;277.0;197.5;124.0;22.3;-1.0;282.9;314.4;270.6,
Free/Part 6/285.png,512,576,64,8,9,8,9,5,49.5;270.5;199.5;131.8;18.1;-1.0;279.6;312.0;275.6,
Free/Part 6/286.png,576,576,64,9,9,9,9,5,51.4;269.2;200.5;133.1;16.4;-1.0;286.0;313.5;279.2,
Free/Part 6/293.png,576,576,64,9,9,9,9,5,52.5;276.3;202.7;124.6;22.1;-1.0;274.5;304.5;270.3,
Free/Part 6/294.png,576,576,64,9,9,9,9,5,349.7;264.6;206.0;138.7;10.8;-1.0;278.7;310.7;277.4,
Free/Part 6/295.png,576,576,64,9,9,9,9,5,33.8;273.2;198.3;127.6;20.0;-1.0;280.8;314.0;274.7,
Free/Part 6/296.png,576,576,64,9,9,9,9,5,32.1;276.3;197.3;124.6;22.1;-1.0;283.8;317.2;271.9,
Free/Part 7/313.png,512,576,64,8,9,8,9,5,47.1;274.3;198.7;126.4;21.0;-1.0;276.8;309.2;271.9,
Free/Part 7/314.png,576,576,64,9,9,9,9,5,40.7;282.0;196.9;118.9;24.3;-1.0;275.1;309.2;263.6,
Free/Part 7/315.png,448,576,64,7,9,7,9,5,44.2;270.5;199.5;131.8;18.1;-1.0;280.4;313.0;276.4,
Free/Part 7/316.png,512,576,64,8,9,8,9,5,48.1;278.8;198.3;121.7;23.0;-1.0;276.3;310.0;267.4,
Free/Part 7/323.png,384,576,64,6,9,6,9,5,40.7;273.2;198.4;127.6;20.0;-1.0;279.6;312.2;275.6,
Free/Part 7/324.png,512,576,64,8,9,8,9,5,46.7;272.2;198.8;129.4;18.9;-1.0;279.1;312.4;273.5,
Free/Part 7/325.png,512,576,64,8,9,8,9,5,33.3;279.8;196.6;121.1;23.7;-1.0;279.6;313.3;266.5,
Free/Part 7/326.png,512,576,64,8,9,8,9,5,40.7;271.2;198.8;130.6;18.8;-1.0;280.0;312.5;274.1,
Free/Part 7/333.png,576,576,64,9,9,9,9,5,30.9;273.2;198.1;127.6;20.0;-1.0;286.0;317.2;274.0,
Free/Part 7/334.png,576,576,64,9,9,9,9,5,41.5;281.1;196.9;120.0;24.3;-1.0;275.1;310.2;264.9,
Free/Part 7/335.png,576,576,64,9,9,9,9,5,37.4;292.0;193.0;104.2;29.0;-1.0;32.9;304.6;249.0,
Free/Part 7/336.png,512,576,64,8,9,8,9,5,38.7;278.8;197.3;121.7;23.0;-1.0;278.7;312.4;268.1,
Free/Part 8/375.png,512,576,64,8,9,8,9,5,36.7;278.8;197.2;121.7;23.0;-1.0;278.3;312.5;268.1,
Free/Part 8/376.png,512,576,64,8,9,8,9,5,37.4;281.3;196.6;119.4;24.3;-1.0;276.3;312.0;264.3,
Free/Part 8/377.png,512,576,64,8,9,8,9,5,27.8;275.0;197.5;125.8;21.2;-1.0;289.3;323.3;272.2,
Free/Part 8/378.png,512,576,64,8,9,8,9,5,35.4;284.6;195.9;116.8;25.9;-1.0;275.1;312.0;259.4,
Free/Part 8/385.png,512,576,64,8,9,8,9,5,36.7;277.0;198.1;124.0;22.3;-1.0;282.9;313.5;270.6,
Free/Part 8/386.png,576,576,64,9,9,9,9,5,38.7;274.3;198.3;126.4;21.0;-1.0;278.8;312.2;274.4,
Free/Part 8/387.png,512,576,64,8,9,8,9,5,37.4;278.8;197.3;121.7;23.0;-1.0;278.2;312.4;268.1,
Free/Part 8/388.png,576,576,64,9,9,9,9,5,37.4;275.9;198.1;125.2;21.8;-1.0;282.9;313.5;272.1,
Free/Part 8/395.png,576,576,64,9,9,9,9,5,30.0;280.1;196.2;120.6;23.8;-1.0;285.0;321.2;266.2,
Free/Part 8/396.png,512,576,64,8,9,8,9,5,38.7;272.2;198.8;129.4;18.9;-1.0;282.9;313.3;275.1,
Free/Part 8/397.png,576,576,64,9,9,9,9,5,37.4;290.5;195.0;107.0;28.5;-1.0;32.9;307.7;251.1,
Free/Part 8/398.png,576,576,64,9,9,9,9,5,350.5;266.1;203.3;136.2;12.5;-1.0;280.8;312.4;278.1,
Free/Part 9/426.png,640,576,64,10,9,10,9,5,43.0;278.2;198.0;122.3;22.9;-1.0;278.3;312.0;268.4,
Free/Part 9/427.png,512,576,64,8,9,8,9,5,40.7;273.2;198.7;127.6;19.8;-1.0;279.6;312.2;274.4,
Free/Part 9/428.png,640,576,64,10,9,10,9,5,45.3;282.0;197.3;118.9;24.3;-1.0;275.7;310.0;263.6,
Free/Part 9/429.png,640,576,64,10,9,10,9,5,41.5;270.5;198.9;131.8;18.1;-1.0;280.0;312.4;274.8,
Free/Part 9/436.png,576,576,64,9,9,9,9,5,35.4;278.2;197.2;122.3;22.8;-1.0;280.0;313.4;268.6,
Free/Part 9/437.png,640,576,64,10,9,10,9,5,38.7;282.0;196.9;118.9;24.3;-1.0;277.3;312.0;263.6,
Free/Part 9/438.png,640,576,64,10,9,10,9,5,42.5;292.0;194.5;104.2;29.0;-1.0;32.9;304.5;249.0,
Free/Part 9/439.png,640,576,64,10,9,10,9,5,28.7;286.3;194.2;115.3;26.2;-1.0;283.8;323.3;257.4,
Free/Part 9/446.png,640,576,64,10,9,10,9,5,40.7;272.4;198.8;128.8;19.3;-1.0;282.9;313.5;275.6,
Free/Part 9/447.png,576,576,64,9,9,9,9,5,35.4;278.1;197.0;122.3;22.6;-1.0;282.9;314.0;268.7,
Free/Part 9/448.png,640,576,64,10,9,10,9,5,46.2;277.0;198.3;124.0;22.3;-1.0;276.3;309.2;270.6,
Free/Part 9/449.png,576,576,64,9,9,9,9,5,43.4;273.2;198.8;127.6;20.0;-1.0;279.1;312.2;276.6,
